ID_Cliente,Desercion,Genero,Genero_Codigo,Adulto_Mayor,Tiene_Pareja,Dependientes,Meses_Permanencia,Servicio_Telefonico,Lineas_Multiples,Tipo_Internet,Tipo_Internet_Codigo,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Tipo_Contrato,Tipo_Contrato_Codigo,Factura_Digital,Metodo_Pago,Metodo_Pago_Codigo,Cargos_Mensuales,Cargos_Totales,tiene_streaming,categoria_servicio,Perfil_Servicio,AnnualCharges,Estado_Cliente
0027-KWYKW,0,Female,0,0,1,1,23,1,1,Fiber optic,2,0,0,0,0,1,0,Month-to-month,0,1,Electronic check,0,83.75,1849.95,1,Internet con Streaming,Solo Streaming Tv,1005.0,Leales
0030-FNXPP,0,Female,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,19.85,57.2,0,Sin Internet,Sin Internet,238.20000000000002,Leales
0031-PVLZI,1,Female,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,20.35,76.35,0,Sin Internet,Sin Internet,244.20000000000002,Fuga
0032-PGELS,1,Female,0,0,1,1,1,0,0,DSL,1,1,0,0,0,0,0,Month-to-month,0,0,Bank transfer (automatic),2,30.5,30.5,0,Internet sin Streaming,Solo Internet,366.0,Fuga
0036-IHMOT,0,Female,0,0,1,1,55,1,0,Fiber optic,2,0,1,1,1,1,1,One year,1,1,Bank transfer (automatic),2,103.7,5656.75,1,Internet con Streaming,Ambos streaming,1244.4,Leales
0040-HALCW,0,Male,1,0,1,1,54,1,0,0,0,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),3,20.4,1090.6,0,Sin Internet,Sin Internet,244.79999999999998,Leales
0042-JVWOJ,0,Male,1,0,0,0,26,1,0,0,0,0,0,0,0,0,0,One year,1,1,Bank transfer (automatic),2,19.6,471.85,0,Sin Internet,Sin Internet,235.20000000000002,Leales
0042-RLHYP,0,Female,0,0,1,1,69,1,0,0,0,0,0,0,0,0,0,Two year,2,0,Bank transfer (automatic),2,19.7,1396.9,0,Sin Internet,Sin Internet,236.39999999999998,Leales
0047-ZHDTW,0,Female,0,0,0,0,11,1,1,Fiber optic,2,1,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),2,79.0,929.3,0,Internet sin Streaming,Solo Internet,948.0,Leales
0048-LUMLS,0,Male,1,0,1,1,37,1,0,Fiber optic,2,0,0,0,0,1,1,One year,1,0,Credit card (automatic),3,91.2,3247.55,1,Internet con Streaming,Ambos streaming,1094.4,Leales
0048-PIHNL,0,Female,0,0,1,0,49,1,0,0,0,0,0,0,0,0,0,One year,1,0,Bank transfer (automatic),2,20.45,900.9,0,Sin Internet,Sin Internet,245.39999999999998,Leales
0052-DCKON,0,Male,1,0,1,0,66,1,1,Fiber optic,2,1,1,1,1,1,1,One year,1,0,Bank transfer (automatic),2,115.8,7942.15,1,Internet con Streaming,Ambos streaming,1389.6,Leales
0052-YNYOT,0,Female,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,One year,1,0,Electronic check,0,20.55,1343.4,0,Sin Internet,Sin Internet,246.60000000000002,Leales
0056-EPFBG,0,Male,1,0,1,1,20,0,0,DSL,1,1,0,1,1,0,0,Two year,2,1,Credit card (automatic),3,39.4,825.4,0,Internet sin Streaming,Solo Internet,472.79999999999995,Leales
0057-QBUQH,0,Female,0,0,0,1,43,1,1,0,0,0,0,0,0,0,0,Two year,2,1,Electronic check,0,25.1,1070.15,0,Sin Internet,Sin Internet,301.20000000000005,Leales
0058-EVZWM,0,Female,0,0,1,0,55,1,1,Fiber optic,2,1,0,0,0,1,0,Month-to-month,0,1,Bank transfer (automatic),2,89.8,4959.6,1,Internet con Streaming,Solo Streaming Tv,1077.6,Leales
0060-FUALY,0,Female,0,0,1,0,59,1,1,Fiber optic,2,1,1,0,0,1,0,Month-to-month,0,1,Electronic check,0,94.75,5597.65,1,Internet con Streaming,Solo Streaming Tv,1137.0,Leales
0064-SUDOG,0,Female,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,Two year,2,0,Bank transfer (automatic),2,20.3,224.5,0,Sin Internet,Sin Internet,243.60000000000002,Leales
0064-YIJGF,0,Male,1,0,1,1,27,1,1,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),2,75.75,1929.0,0,Internet sin Streaming,Solo Internet,909.0,Leales
0067-DKWBL,1,Male,1,1,0,0,2,1,0,DSL,1,1,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,49.25,91.1,0,Internet sin Streaming,Solo Internet,591.0,Fuga
0068-FIGTF,0,Female,0,0,0,0,27,1,0,DSL,1,0,1,1,1,1,1,One year,1,0,Mailed check,1,78.2,2078.95,1,Internet con Streaming,Ambos streaming,938.4000000000001,Leales
0071-NDAFP,0,Male,1,0,1,1,25,1,1,0,0,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),3,25.5,630.6,0,Sin Internet,Sin Internet,306.0,Leales
0074-HDKDG,0,Male,1,0,1,1,25,1,0,DSL,1,1,1,1,0,0,0,One year,1,1,Bank transfer (automatic),2,61.6,1611.0,0,Internet sin Streaming,Solo Internet,739.2,Leales
0076-LVEPS,0,Male,1,0,0,1,29,0,0,DSL,1,1,1,1,1,0,0,Month-to-month,0,1,Mailed check,1,45.0,1242.45,0,Internet sin Streaming,Solo Internet,540.0,Leales
0078-XZMHT,0,Male,1,0,1,0,72,1,1,DSL,1,0,1,1,1,1,1,Two year,2,1,Bank transfer (automatic),2,85.15,6316.2,1,Internet con Streaming,Ambos streaming,1021.8000000000001,Leales
0080-EMYVY,0,Female,0,0,0,0,14,1,0,DSL,1,0,1,0,0,0,0,One year,1,0,Credit card (automatic),3,51.45,727.85,0,Internet sin Streaming,Solo Internet,617.4000000000001,Leales
0080-OROZO,0,Female,0,0,0,0,35,1,0,Fiber optic,2,0,0,1,1,1,1,One year,1,1,Electronic check,0,99.25,3532.0,1,Internet con Streaming,Ambos streaming,1191.0,Leales
0082-LDZUE,0,Male,1,0,0,0,1,1,0,DSL,1,0,0,0,0,0,0,Month-to-month,0,1,Mailed check,1,44.3,44.3,0,Internet sin Streaming,Solo Internet,531.5999999999999,Leales
0082-OQIQY,0,Male,1,0,0,0,29,1,0,Fiber optic,2,0,0,0,1,1,1,Month-to-month,0,1,Electronic check,0,94.2,2607.6,1,Internet con Streaming,Ambos streaming,1130.4,Leales
0083-PIVIK,0,Male,1,0,0,0,64,1,1,DSL,1,1,1,1,1,1,0,One year,1,0,Electronic check,0,81.25,5567.55,1,Internet con Streaming,Solo Streaming Tv,975.0,Leales
0089-IIQKO,0,Female,0,0,1,1,39,1,1,Fiber optic,2,0,0,0,1,1,1,Month-to-month,0,1,Credit card (automatic),3,99.95,3767.4,1,Internet con Streaming,Ambos streaming,1199.4,Leales
0093-EXYQL,0,Female,0,1,0,0,40,1,0,Fiber optic,2,0,0,0,0,1,1,Month-to-month,0,1,Electronic check,0,91.55,3673.6,1,Internet con Streaming,Ambos streaming,1098.6,Leales
0093-XWZFY,1,Male,1,0,0,0,40,1,1,Fiber optic,2,0,1,1,0,1,1,Month-to-month,0,1,Credit card (automatic),3,104.5,4036.85,1,Internet con Streaming,Ambos streaming,1254.0,Fuga
0094-OIFMO,1,Female,0,1,0,0,11,1,0,Fiber optic,2,0,1,0,0,1,1,Month-to-month,0,1,Electronic check,0,95.0,1120.3,1,Internet con Streaming,Ambos streaming,1140.0,Fuga
0096-BXERS,0,Female,0,0,1,0,6,1,1,DSL,1,0,0,0,0,0,0,Month-to-month,0,0,Electronic check,0,50.35,314.55,0,Internet sin Streaming,Solo Internet,604.2,Leales
0096-FCPUF,0,Male,1,0,0,0,30,1,1,DSL,1,1,0,0,0,0,1,Month-to-month,0,1,Mailed check,1,64.5,1888.45,1,Internet con Streaming,Solo Streaming Movie,774.0,Leales
0098-BOWSO,0,Male,1,0,0,0,27,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,19.4,529.8,0,Sin Internet,Sin Internet,232.79999999999998,Leales
0100-DUVFC,0,Male,1,1,1,0,70,1,1,Fiber optic,2,0,1,1,0,1,1,One year,1,1,Electronic check,0,104.8,7308.95,1,Internet con Streaming,Ambos streaming,1257.6,Leales
0103-CSITQ,0,Female,0,0,1,0,57,1,1,Fiber optic,2,0,1,1,1,1,1,One year,1,1,Bank transfer (automatic),2,109.4,6252.7,1,Internet con Streaming,Ambos streaming,1312.8000000000002,Leales
0104-PPXDV,0,Male,1,0,1,0,58,1,0,DSL,1,0,0,1,0,0,0,One year,1,0,Credit card (automatic),3,50.3,2878.55,0,Internet sin Streaming,Solo Internet,603.5999999999999,Leales
0106-GHRQR,0,Male,1,0,0,0,16,1,1,DSL,1,0,1,1,0,0,1,Month-to-month,0,1,Bank transfer (automatic),2,71.4,1212.1,1,Internet con Streaming,Solo Streaming Movie,856.8000000000001,Leales
0106-UGRDO,0,Female,0,0,1,0,69,1,1,Fiber optic,2,1,1,1,1,1,1,Two year,2,1,Electronic check,0,116.0,8182.85,1,Internet con Streaming,Ambos streaming,1392.0,Leales
0107-WESLM,1,Male,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,19.85,19.85,0,Sin Internet,Sin Internet,238.20000000000002,Fuga
0107-YHINA,1,Male,1,0,0,1,1,1,1,Fiber optic,2,0,0,1,0,1,1,Month-to-month,0,1,Electronic check,0,99.75,99.75,1,Internet con Streaming,Ambos streaming,1197.0,Fuga
0111-KLBQG,0,Male,1,1,1,1,32,1,0,Fiber optic,2,0,1,0,0,1,1,Month-to-month,0,1,Mailed check,1,93.95,2861.45,1,Internet con Streaming,Ambos streaming,1127.4,Leales
0112-QAWRZ,0,Male,1,0,1,1,16,1,1,Fiber optic,2,0,0,1,0,1,0,Month-to-month,0,1,Bank transfer (automatic),2,90.8,1442.2,1,Internet con Streaming,Solo Streaming Tv,1089.6,Leales
0112-QWPNC,1,Male,1,0,1,0,49,1,1,DSL,1,1,0,1,1,1,1,One year,1,0,Electronic check,0,84.35,4059.35,1,Internet con Streaming,Ambos streaming,1012.1999999999999,Fuga
0114-IGABW,0,Female,0,0,1,0,71,0,0,DSL,1,0,1,1,1,1,1,Two year,2,0,Bank transfer (automatic),2,58.25,4145.9,1,Internet con Streaming,Ambos streaming,699.0,Leales
0114-PEGZZ,0,Female,0,0,0,0,33,1,1,Fiber optic,2,0,1,1,0,1,1,Month-to-month,0,0,Electronic check,0,107.55,3645.5,1,Internet con Streaming,Ambos streaming,1290.6,Leales
0114-RSRRW,0,Female,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),2,19.95,187.75,0,Sin Internet,Sin Internet,239.39999999999998,Leales
0115-TFERT,1,Male,1,0,1,0,21,1,1,Fiber optic,2,0,1,1,1,1,1,Month-to-month,0,1,Electronic check,0,111.2,2317.1,1,Internet con Streaming,Ambos streaming,1334.4,Fuga
0117-LFRMW,1,Male,1,0,1,1,37,0,0,DSL,1,1,1,1,0,0,0,Month-to-month,0,0,Bank transfer (automatic),2,40.2,1448.8,0,Internet sin Streaming,Solo Internet,482.40000000000003,Fuga
0118-JPNOY,0,Female,0,1,0,0,26,1,0,Fiber optic,2,1,0,0,0,1,0,Month-to-month,0,1,Credit card (automatic),3,85.8,2193.65,1,Internet con Streaming,Solo Streaming Tv,1029.6,Leales
0120-YZLQA,0,Male,1,0,0,0,71,1,0,0,0,0,0,0,0,0,0,Two year,2,1,Credit card (automatic),3,19.9,1355.1,0,Sin Internet,Sin Internet,238.79999999999998,Leales
0121-SNYRK,0,Male,1,0,0,0,50,0,0,DSL,1,1,0,0,1,0,0,One year,1,1,Mailed check,1,35.4,1748.9,0,Internet sin Streaming,Solo Internet,424.79999999999995,Leales
0122-OAHPZ,1,Female,0,0,0,0,7,1,1,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,73.85,511.25,0,Internet sin Streaming,Solo Internet,886.1999999999999,Fuga
0123-CRBRT,0,Female,0,0,1,1,61,1,1,DSL,1,1,1,1,1,1,1,Two year,2,0,Mailed check,1,88.1,5526.75,1,Internet con Streaming,Ambos streaming,1057.1999999999998,Leales
0125-LZQXK,1,Male,1,0,0,0,15,1,0,Fiber optic,2,0,0,1,1,1,1,Month-to-month,0,1,Electronic check,0,101.35,1553.95,1,Internet con Streaming,Ambos streaming,1216.1999999999998,Fuga
0128-MKWSG,0,Female,0,0,0,1,26,0,0,DSL,1,1,0,0,1,0,1,Month-to-month,0,0,Mailed check,1,45.8,1147.0,1,Internet con Streaming,Solo Streaming Movie,549.5999999999999,Leales
0129-KPTWJ,0,Male,1,0,1,0,72,1,0,Fiber optic,2,0,0,1,0,1,1,Month-to-month,0,1,Electronic check,0,94.65,6747.35,1,Internet con Streaming,Ambos streaming,1135.8000000000002,Leales
0129-QMPDR,0,Male,1,0,1,1,44,1,0,0,0,0,0,0,0,0,0,One year,1,1,Bank transfer (automatic),2,20.5,865.05,0,Sin Internet,Sin Internet,246.0,Leales
0130-SXOUN,0,Male,1,0,0,0,66,1,1,Fiber optic,2,0,1,0,0,0,1,Month-to-month,0,0,Credit card (automatic),3,89.4,5976.9,1,Internet con Streaming,Solo Streaming Movie,1072.8000000000002,Leales
0133-BMFZO,1,Female,0,0,0,0,2,1,0,Fiber optic,2,1,1,0,1,0,0,Month-to-month,0,1,Electronic check,0,86.25,181.65,0,Internet sin Streaming,Solo Internet,1035.0,Fuga
0134-XWXCE,0,Female,0,1,0,0,44,1,0,DSL,1,0,0,1,1,1,1,One year,1,0,Bank transfer (automatic),2,74.85,3268.05,1,Internet con Streaming,Ambos streaming,898.1999999999999,Leales
0135-NMXAP,1,Female,0,0,0,0,12,1,1,Fiber optic,2,0,1,0,0,1,0,Month-to-month,0,1,Bank transfer (automatic),2,89.75,1052.4,1,Internet con Streaming,Solo Streaming Tv,1077.0,Fuga
0136-IFMYD,0,Male,1,1,1,0,69,1,1,Fiber optic,2,0,1,1,1,1,1,Two year,2,1,Electronic check,0,109.95,7634.25,1,Internet con Streaming,Ambos streaming,1319.4,Leales
0137-OCGAB,1,Female,0,0,0,0,1,1,1,Fiber optic,2,0,1,0,0,0,0,Month-to-month,0,1,Mailed check,1,80.2,80.2,0,Internet sin Streaming,Solo Internet,962.4000000000001,Fuga
0137-UDEUO,1,Female,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,19.85,63.75,0,Sin Internet,Sin Internet,238.20000000000002,Fuga
0139-IVFJG,0,Female,0,0,1,0,2,1,0,Fiber optic,2,1,1,0,0,1,0,Month-to-month,0,0,Electronic check,0,90.35,190.5,1,Internet con Streaming,Solo Streaming Tv,1084.1999999999998,Leales
0141-YEAYS,0,Female,0,1,0,0,27,1,1,Fiber optic,2,0,1,1,0,0,0,Month-to-month,0,1,Bank transfer (automatic),2,86.45,2401.05,0,Internet sin Streaming,Solo Internet,1037.4,Leales
0142-GVYSN,0,Male,1,0,0,0,26,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,0,20.3,511.25,0,Sin Internet,Sin Internet,243.60000000000002,Leales
0147-ESWWR,0,Female,0,1,1,0,39,1,1,Fiber optic,2,0,0,0,1,1,1,Month-to-month,0,1,Electronic check,0,101.25,3949.15,1,Internet con Streaming,Ambos streaming,1215.0,Leales
0148-DCDOS,1,Male,1,0,0,0,25,1,1,Fiber optic,2,0,0,0,0,1,1,Month-to-month,0,1,Bank transfer (automatic),2,94.7,2362.1,1,Internet con Streaming,Ambos streaming,1136.4,Fuga
0151-ONTOV,1,Female,0,0,0,0,1,1,0,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,70.9,70.9,0,Internet sin Streaming,Solo Internet,850.8000000000001,Fuga
0154-QYHJU,0,Male,1,0,0,0,29,1,0,DSL,1,1,1,0,1,0,0,One year,1,1,Electronic check,0,58.75,1696.2,0,Internet sin Streaming,Solo Internet,705.0,Leales
0156-FVPTA,1,Male,1,0,1,0,22,1,0,DSL,1,1,0,0,1,0,0,Month-to-month,0,1,Electronic check,0,54.2,1152.7,0,Internet sin Streaming,Solo Internet,650.4000000000001,Fuga
0162-RZGMZ,0,Female,0,1,0,0,5,1,0,DSL,1,1,1,0,1,0,0,Month-to-month,0,0,Credit card (automatic),3,59.9,287.85,0,Internet sin Streaming,Solo Internet,718.8,Leales
0164-APGRB,0,Female,0,0,0,0,72,1,1,Fiber optic,2,1,1,1,1,1,1,Two year,2,1,Electronic check,0,114.9,8496.7,1,Internet con Streaming,Ambos streaming,1378.8000000000002,Leales
0164-XAIRP,0,Female,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,Two year,2,1,Bank transfer (automatic),2,19.55,470.2,0,Sin Internet,Sin Internet,234.60000000000002,Leales
0168-XZKBB,0,Female,0,0,1,0,19,1,1,Fiber optic,2,0,0,0,0,1,0,Month-to-month,0,1,Electronic check,0,86.85,1564.4,1,Internet con Streaming,Solo Streaming Tv,1042.1999999999998,Leales
0174-QRVVY,0,Male,1,0,1,1,71,1,1,0,0,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),3,25.35,1847.55,0,Sin Internet,Sin Internet,304.20000000000005,Leales
0177-PXBAT,0,Male,1,1,1,0,33,1,1,Fiber optic,2,1,0,1,1,1,1,Month-to-month,0,1,Bank transfer (automatic),2,109.9,3694.7,1,Internet con Streaming,Ambos streaming,1318.8000000000002,Leales
0178-CIIKR,0,Female,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,19.95,58.0,0,Sin Internet,Sin Internet,239.39999999999998,Leales
0178-SZBHO,0,Male,1,0,1,1,47,1,1,Fiber optic,2,0,1,0,0,1,0,Month-to-month,0,0,Electronic check,0,87.2,4017.45,1,Internet con Streaming,Solo Streaming Tv,1046.4,Leales
0181-RITDD,0,Male,1,0,1,1,62,1,0,Fiber optic,2,1,1,1,1,1,1,Two year,2,0,Mailed check,1,108.15,6825.65,1,Internet con Streaming,Ambos streaming,1297.8000000000002,Leales
0186-CAERR,0,Male,1,0,0,0,71,1,1,Fiber optic,2,1,1,1,1,1,1,One year,1,1,Bank transfer (automatic),2,116.3,8309.55,1,Internet con Streaming,Ambos streaming,1395.6,Leales
0187-QSXOE,0,Male,1,1,1,0,7,1,0,Fiber optic,2,0,0,0,0,1,1,Month-to-month,0,1,Electronic check,0,89.0,605.45,1,Internet con Streaming,Ambos streaming,1068.0,Leales
0187-WZNAB,0,Female,0,0,1,1,27,1,0,Fiber optic,2,1,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,74.4,1972.35,0,Internet sin Streaming,Solo Internet,892.8000000000001,Leales
0188-GWFLE,0,Male,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,1,20.05,33.7,0,Sin Internet,Sin Internet,240.60000000000002,Leales
0191-EQUUH,0,Female,0,0,0,1,25,0,0,DSL,1,1,0,0,1,0,0,Two year,2,0,Bank transfer (automatic),2,35.05,844.45,0,Internet sin Streaming,Solo Internet,420.59999999999997,Leales
0191-ZHSKZ,0,Male,1,1,0,0,30,1,0,DSL,1,1,1,0,0,1,1,Month-to-month,0,1,Electronic check,0,74.75,2111.3,1,Internet con Streaming,Ambos streaming,897.0,Leales
0193-ESZXP,1,Female,0,1,1,0,58,1,0,Fiber optic,2,1,1,0,1,1,1,One year,1,1,Credit card (automatic),3,105.5,6205.5,1,Internet con Streaming,Ambos streaming,1266.0,Fuga
0195-IESCP,1,Male,1,0,1,0,10,1,1,Fiber optic,2,0,0,0,0,0,1,Month-to-month,0,1,Electronic check,0,85.25,855.3,1,Internet con Streaming,Solo Streaming Movie,1023.0,Fuga
0196-JTUQI,0,Female,0,0,0,0,9,1,1,Fiber optic,2,0,0,0,0,0,0,Month-to-month,0,1,Credit card (automatic),3,75.2,633.85,0,Internet sin Streaming,Solo Internet,902.4000000000001,Leales
0196-VULGZ,1,Female,0,1,1,0,6,1,1,Fiber optic,2,0,0,0,0,0,1,Month-to-month,0,1,Electronic check,0,84.35,474.9,1,Internet con Streaming,Solo Streaming Movie,1012.1999999999999,Fuga
0197-PNKNK,0,Female,0,0,1,1,69,1,1,Fiber optic,2,1,0,1,0,0,0,One year,1,0,Bank transfer (automatic),2,84.45,5848.6,0,Internet sin Streaming,Solo Internet,1013.4000000000001,Leales
0201-MIBOL,0,Female,0,1,0,0,66,1,1,Fiber optic,2,1,0,0,0,1,1,Two year,2,1,Bank transfer (automatic),2,102.4,6471.85,1,Internet con Streaming,Ambos streaming,1228.8000000000002,Leales
0201-OAMXR,1,Female,0,0,0,0,70,1,1,Fiber optic,2,1,1,1,1,1,1,One year,1,0,Credit card (automatic),3,115.55,8127.6,1,Internet con Streaming,Ambos streaming,1386.6,Fuga
0203-HHYIJ,1,Male,1,0,0,0,25,1,1,0,0,0,0,0,0,0,0,One year,1,0,Bank transfer (automatic),2,25.3,676.35,0,Sin Internet,Sin Internet,303.6,Fuga
0206-OYVOC,0,Female,0,0,1,1,46,1,0,0,0,0,0,0,0,0,0,Two year,2,1,Mailed check,1,19.25,864.2,0,Sin Internet,Sin Internet,231.0,Leales
0206-TBWLC,0,Female,0,0,1,0,54,1,1,Fiber optic,2,1,1,1,1,1,1,One year,1,1,Mailed check,1,114.65,6049.5,1,Internet con Streaming,Ambos streaming,1375.8000000000002,Leales
0207-MDKNV,1,Female,0,0,0,0,15,1,0,Fiber optic,2,1,0,1,1,1,1,Month-to-month,0,0,Electronic check,0,105.1,1582.75,1,Internet con Streaming,Ambos streaming,1261.1999999999998,Fuga
0208-BPQEJ,0,Female,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,Month-to-month,0,0,Bank transfer (automatic),2,19.4,198.1,0,Sin Internet,Sin Internet,232.79999999999998,Leales
0212-ISBBF,0,Female,0,0,0,0,22,0,0,DSL,1,0,1,0,0,1,1,Month-to-month,0,1,Electronic check,0,50.35,1098.85,1,Internet con Streaming,Ambos streaming,604.2,Leales
0214-JHPFW,0,Female,0,0,1,0,70,0,0,DSL,1,0,1,1,1,1,1,Two year,2,0,Bank transfer (automatic),2,57.8,4039.3,1,Internet con Streaming,Ambos streaming,693.5999999999999,Leales
